,city,lat,lng,max temp,humidity,cloudiness,wind speed,country id,date
150,Catia La Mar,10.6038,-67.0303,80.49,84,52,6.29,VE,1643404617
151,Deputatsky,69.3,139.9,-26.09,99,99,2.46,RU,1643404678
152,San Lorenzo,-25.3333,-57.5333,90.59,41,40,15.99,PY,1643404678
153,Chicama,-7.8447,-79.1469,68.54,65,91,9.51,PE,1643404678
154,Tiksi,71.6872,128.8694,-3.69,98,100,7.27,RU,1643404679
155,Flin Flon,54.7682,-101.865,1.24,71,100,6.91,CA,1643404537
156,Aasiaat,68.7098,-52.8699,17.78,61,100,21.68,GL,1643404679
157,Orán,-23.1322,-64.326,85.37,57,51,1.5,AR,1643404679
158,Castro,-24.7911,-50.0119,61.97,99,100,7.29,BR,1643404680
159,Almaznyy,48.0448,40.045,30.34,98,100,16.53,RU,1643404680
160,Abbeville,50.1,1.8333,46.36,94,96,9.82,FR,1643404680
161,Porto Santo,33.072,-16.3415,60.71,77,40,14.97,PT,1643404681
162,Cap Malheureux,-19.9842,57.6142,79.29,79,3,1.01,MU,1643404681
163,Shimoda,34.6667,138.95,37.11,60,88,3.71,JP,1643404681
164,Arraial do Cabo,-22.9661,-42.0278,80.56,83,75,6.91,BR,1643404682
165,Kaabong,3.4836,34.1492,70.63,31,11,6.91,UG,1643404682
166,Portland,45.5234,-122.6762,51.62,53,20,1.99,US,1643404590
167,Carepa,7.7585,-76.6525,82.87,69,45,7.0,CO,1643404682
168,Kingston,17.997,-76.7936,81.55,70,40,10.0,JM,1643404683
169,Zhoucheng,35.9122,116.3117,29.64,38,49,3.69,CN,1643404683
170,Ust-Kuyga,70.0167,135.6,-22.09,99,100,2.24,RU,1643404683
171,Lakes Entrance,-37.8811,147.981,69.57,97,100,4.16,AU,1643404684
172,Severo-Kuril'sk,50.6789,156.125,23.72,84,100,29.97,RU,1643404684
173,Puerto Colombia,10.9878,-74.9547,84.29,76,75,19.24,CO,1643404680
174,Dawlatabad,36.4141,64.9053,43.32,90,100,9.22,AF,1643404684
175,Port Hedland,-20.3167,118.5667,80.65,74,94,8.05,AU,1643404685
176,Takoradze,4.8845,-1.7554,80.38,79,40,8.34,GH,1643404685
177,Port Macquarie,-31.4333,152.9167,69.89,82,17,4.12,AU,1643404686
178,Yuzhno-Sukhokumsk,44.6581,45.6436,30.07,83,43,7.78,RU,1643404686
179,Hambantota,6.1241,81.1185,74.79,87,44,6.98,LK,1643404547
180,Boende,-0.2167,20.8667,81.36,45,96,2.86,CD,1643404686
181,Oga,46.4631,10.347,29.08,88,59,6.62,IT,1643404687
182,Ulaangom,49.9811,92.0667,-21.71,87,88,3.44,MN,1643404687
183,Juquitiba,-23.9317,-47.0683,70.38,99,100,3.71,BR,1643404687
184,San Cristobal,7.7669,-72.225,80.78,44,87,4.85,VE,1643404546
185,Kruisfontein,-34.0033,24.7314,61.88,88,2,7.2,ZA,1643404688
186,Grindavik,63.8424,-22.4338,27.07,68,100,18.41,IS,1643404688
187,Arroyo Grande,35.1186,-120.5907,75.0,22,0,3.0,US,1643404688
188,São Filipe,14.8961,-24.4956,71.58,70,100,10.33,CV,1643404689
189,Mahibadhoo,3.7833,72.9667,80.6,65,16,13.76,MV,1643404689
190,Bambous Virieux,-20.3428,57.7575,79.05,89,40,2.3,MU,1643404689
191,Anking,30.5092,117.0506,34.79,97,100,8.93,CN,1643404690
